ticker,stock_price,current_revenue,annual_revenue_growth_growth,growth_period,annual_revenue_growth_stable,stable_period,annual_cogs_rate,excess_periods,current_depreciation,annual_depreciation_growth_now,adg_now_period,annual_depreciation_growth_growth,adg_growth_period,annual_depreciation_growth_stable,adg_stable_period,tax_rate,current_nol,current_capex,annual_capex_growth_now,acg_now_period,annual_capex_growth_growth,acg_growth_period,annual_capex_growth_stable,acg_stable_period,working_cap_rate,wcr_period,cap_periods,beta_stock,cost_of_equity,cost_of_debt,risk_free_rate,risk_premium,publicly_traded_flag,last_traded_price,shares_outstanding,market_val_debt,book_val_debt,book_val_equity,debt_capital_ratio,beta_stable_period,debt_capital_ratio_stable_period,cost_of_debt_stable_period,growth_rate_stable_period,operating_expense_stable_period,capex_stable_period,working_cap_rate_stable_period,cost_of_debt_flag
MMM,188.649994,30109,1.06,7,1.03,13,0.498953801,20,1474,0.931668279,1,1.06,5,1.03,14,0.282858358,0,1420,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,188.649994,596.73,0.1,11695,10298,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
AXP,75.800003,32717,1.06,7,1.03,13,0.260262249,20,1095,0.931668279,1,1.06,5,1.03,14,0.33201581,0,1375,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,75.800003,904,0.1,107868,20501,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
AAPL,141.050003,215639,1.06,7,1.03,13,0.609240444,20,10505,0.931668279,1,1.06,5,1.03,14,0.255572574,0,13548,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,141.050003,5336.17,0.1,87032,128249,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
BA,175.619995,94571,1.06,7,1.03,13,0.854278796,20,1910,0.931668279,1,1.06,5,1.03,14,0.120869253,0,2613,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,175.619995,617.15,0.1,9952,817,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
CAT,93.099998,38537,1.06,7,1.03,13,0.734592729,20,3034,0.931668279,1,1.06,5,1.03,14,1.381294964,0,2928,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,93.099998,586.49,0.1,36783,13137,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
CVX,106.099998,110484,1.06,7,1.03,13,0.599697694,20,19457,0.931668279,1,1.06,5,1.03,14,0.800462963,0,18109,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,106.099998,1891.51,0.1,46126,145556,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
CSCO,32.419998,49247,1.06,7,1.03,13,0.371332264,20,2150,0.931668279,1,1.06,5,1.03,14,0.16880805,0,1146,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,32.419998,5029,0.1,28643,63586,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
KO,42.790001,41863,1.06,7,1.03,13,0.393306739,20,1787,0.931668279,1,1.06,5,1.03,14,0.194936087,0,2262,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,42.790001,4288,0.1,45709,23062,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
DIS,113.199997,55632,1.06,7,1.03,13,0.539132154,20,2527,0.931668279,1,1.06,5,1.03,14,0.341538875,0,4773,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,113.199997,1600,0.1,20170,43265,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
DD,77.440002,24764,1.06,7,1.03,13,0.583104507,20,1258,0.931668279,1,1.06,5,1.03,14,0.227871363,0,1019,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,77.440002,863,0.1,8536,9998,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
XOM,81.690002,218608,1.06,7,1.03,13,0.719040474,20,22308,0.931668279,1,1.06,5,1.03,14,-0.050947421,0,16163,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,81.690002,4148,0.1,42762,167325,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
GE,29.559999,123692,1.06,7,1.03,13,0.737905443,20,4997,0.931668279,1,1.06,5,1.03,14,-0.051384275,0,7199,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,29.559999,8742.61,0.1,136211,75827,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
GS,223.320007,37850,1.06,7,1.03,13,0.278494055,20,998,0.931668279,1,1.06,5,1.03,14,0.282026398,0,2876,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,223.320007,392.63,0.1,515432,86893,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
HD,145.910004,94595,1.06,7,1.03,13,0.658406893,20,1973,0.931668279,1,1.06,5,1.03,14,0.362981347,0,1621,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,145.910004,1203,0.1,23601,4333,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
IBM,169.529999,79919,1.06,7,1.03,13,0.520827338,20,4381,0.931668279,1,1.06,5,1.03,14,0.036415247,0,4150,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,169.529999,945.87,0.1,42168,18246,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
INTC,35.25,59387,1.06,7,1.03,13,0.390590533,20,7790,0.931668279,1,1.06,5,1.03,14,0.20253556,0,9625,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,35.25,4730,0.1,25283,66226,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
JNJ,124.989998,71890,1.06,7,1.03,13,0.30101544,20,3754,0.931668279,1,1.06,5,1.03,14,0.164773014,0,3226,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,124.989998,2706.51,0.1,27126,70418,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
JPM,84.400002,108249,1.06,7,1.03,13,0.8165,20,5478,0.931668279,1,1.06,5,1.03,14,0.283848738,0,7696,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,84.400002,3561.19,0.1,495354,254190,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
MCD,130.759995,24621.9,1.06,7,1.03,13,0.585543764,20,1516.5,0.931668279,1,1.06,5,1.03,14,0.317433731,0,1821.1,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,130.759995,819.3,0.1,25955.7,-2204.3,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
MRK,62.610001,39807,1.06,7,1.03,13,0.242746251,20,5441,0.931668279,1,1.06,5,1.03,14,0.154110324,0,1614,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,62.610001,2748.73,0.1,24842,40088,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
MSFT,64.949997,85320,1.06,7,1.03,13,0.384200656,20,6622,0.931668279,1,1.06,5,1.03,14,0.149511417,0,8343,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,64.949997,7808,0.1,53461,71997,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
NKE,55.34,32376,1.06,7,1.03,13,0.537589573,20,662,0.931668279,1,1.06,5,1.03,14,0.186675319,0,1143,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,55.34,1682,0.1,2038,12258,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
PFE,33.880001,52824,1.06,7,1.03,13,0.233265182,20,5757,0.931668279,1,1.06,5,1.03,14,0.134474913,0,1999,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,33.880001,6070,0.1,42086,59544,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
PG,90.029999,65299,1.06,7,1.03,13,0.492978453,20,3078,0.931668279,1,1.06,5,1.03,14,0.2499813,0,3314,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,90.029999,2668,0.1,30598,57341,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
TRV,120.529999,27654,1.06,7,1.03,13,0.8165,20,4811,0.931668279,1,1.06,5,1.03,14,0.256353319,0,7696,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,120.529999,279.6,0.1,6437,23221,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
UTX,112.089996,57244,1.06,7,1.03,13,0.724268046,20,1962,0.931668279,1,1.06,5,1.03,14,0.237908313,0,2087,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,112.089996,808.7,0.1,23901,27579,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
UNH,164.960007,184840,1.06,7,1.03,13,0.8165,20,2055,0.931668279,1,1.06,5,1.03,14,0.403776448,0,1705,1.023939669,1,1.06,4,1.03,15,0.05,20,5,1,0.07,0.025,0.02,0.05,TRUE,164.960007,952,0.1,32970,38274,0,0,0.15,0.08,0.03,0.8165,1.1,0.01,TRUE
